                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2184,                 5.6393,                 1.3022,                0.31353,                0.01389,                0.00093,                0.00062,                 1.6327,                 5.1339,                 1.2626,                 0.0955,                 0.0005,                 0.0005
                      1,                 2.1142,                 5.2058,                 1.2181,                0.82346,                0.02083,                 0.0103,                 0.0068,                  1.538,                 4.7799,                 1.1616,               0.090089,              0.0010891,              0.0010891
                      2,                 1.6288,                 4.0204,                 1.0713,                0.80134,                0.08357,                0.10224,                0.05297,                 1.6662,                 4.2054,                 1.1407,               0.084666,              0.0016663,              0.0016663
                      3,                 1.3697,                 2.5905,                0.99948,                0.94179,                0.16867,                0.25796,                0.16864,                 1.4339,                 3.6307,                 1.0943,               0.079232,              0.0022317,              0.0022317
                      4,                 1.3181,                 2.1187,                 0.9869,                0.78941,                0.26679,                 0.2996,                0.19811,                 1.3951,                 2.6854,                 1.0651,               0.073785,              0.0027852,              0.0027852
                      5,                 1.3647,                 1.8122,                0.97762,                0.88716,                0.30027,                0.38928,                0.25293,                 1.2914,                 2.1559,                 1.0173,               0.068327,              0.0033267,              0.0033267
                      6,                 1.3545,                  1.663,                0.98038,                0.88528,                0.39692,                0.50408,                 0.3074,                 1.4173,                 1.9721,                 1.0507,               0.062856,              0.0038565,              0.0038565
                      7,                 1.5349,                 1.5188,                0.99236,                0.87747,                0.48611,                0.58044,                 0.3613,                 1.2861,                 1.6086,                 1.0175,               0.057374,              0.0043743,              0.0043743
                      8,                 1.3693,                 1.3154,                0.97955,                0.79417,                0.55687,                0.57128,                0.37681,                 1.3357,                 1.5361,                  1.022,                0.05188,              0.0048802,              0.0048802
                      9,                 1.5533,                 1.3763,                0.98357,                0.73565,                0.66391,                0.67621,                0.40761,                 1.3427,                 1.3338,                 1.0241,               0.046374,              0.0053743,              0.0053743
                     10,                 1.2883,                 1.2501,                 0.9632,                0.83542,                0.66943,                0.72337,                0.45302,                 1.2762,                 1.4946,                 1.0113,               0.040857,              0.0058565,              0.0058565
                     11,                 1.4106,                 1.2232,                0.95662,                0.73316,                0.72497,                0.74023,                0.44659,                 1.2842,                 1.4634,                0.97397,               0.035327,              0.0063268,              0.0063268
                     12,                 1.4022,                 1.2638,                0.95888,                 0.8715,                0.72886,                0.84329,                0.55356,                 1.1096,                 1.2077,                0.95575,               0.029785,              0.0067852,              0.0067852
                     13,                 1.1856,                 1.1468,                0.94738,                0.68577,                0.76936,                0.81962,                0.50475,                 1.3839,                 1.2636,                 0.9801,               0.024232,              0.0072318,              0.0072318
                     14,                 1.6834,                 1.2352,                0.98706,                0.68577,                0.76936,                0.81962,                0.50475,                 1.3839,                 1.2636,                 0.9801,               0.018666,              0.0076665,              0.0076665
                     15,                 1.5524,                 1.2112,                  1.023,                0.67489,                0.87039,                0.87222,                0.52463,                 1.5172,                 1.2126,                 1.0778,               0.013089,              0.0080892,              0.0080892
                     16,                 1.5653,                 1.2732,                0.98231,                0.78845,                0.87791,                0.94647,                0.64861,                 1.1687,                 1.1543,                0.96732,               0.008416,               0.008416,               0.008416
                     17,                 1.3699,                 1.2403,                0.95482,                0.92443,                0.90072,                0.99357,                0.65777,                  1.217,                 1.1354,                0.98746,               0.008416,               0.008416,               0.008416
                     18,                 1.2904,                 1.0674,                0.94191,                0.92443,                0.90072,                0.99357,                0.65777,                  1.217,                 1.1354,                0.98746,               0.008317,               0.008317,               0.008317
                     19,                 1.3595,                 1.1604,                0.94026,                0.81055,                0.93317,                  0.991,                0.58083,                 1.3205,                  1.003,                 1.0002,               0.008218,               0.008218,               0.008218
                     20,                 1.3971,                 1.0793,                0.95147,                0.90491,                0.91563,                0.98125,                0.57271,                  1.294,                0.92658,                 0.9726,               0.008119,               0.008119,               0.008119
                     21,                 1.2885,                0.97423,                0.95322,                0.87023,                0.94594,                0.97194,                0.61999,                 1.2547,                0.91558,                0.97297,                0.00802,                0.00802,                0.00802
                     22,                 1.2241,                 1.0789,                0.91312,                0.87023,                0.94594,                0.97194,                0.61999,                 1.2547,                0.91558,                0.97297,               0.007921,               0.007921,               0.007921
                     23,                 1.2805,                0.96722,                0.93254,                0.91121,                0.96072,                0.99205,                0.60046,                 1.2506,                0.91775,                 0.9545,               0.007822,               0.007822,               0.007822
                     24,                 1.3351,                0.93069,                0.93654,                0.89304,                0.92829,                0.98824,                0.65796,                 1.2061,                0.77671,                0.94898,               0.007723,               0.007723,               0.007723
                     25,                 1.3701,                0.93319,                0.94005,                 0.9347,                0.94844,                0.99065,                0.61673,                 1.3999,                0.89376,                0.96317,               0.007624,               0.007624,               0.007624
                     26,                 1.2894,                0.95119,                0.92142,                 0.9347,                0.94844,                0.99065,                0.61673,                 1.3999,                0.89376,                0.96317,               0.007525,               0.007525,               0.007525
                     27,                 1.3004,                0.92983,                0.92816,                0.94123,                0.98258,                  0.995,                 0.5758,                 1.3256,                0.86066,                0.96523,               0.007426,               0.007426,               0.007426
                     28,                 1.2017,                0.90538,                0.90274,                0.86999,                0.95885,                0.96661,                0.64563,                 1.1327,                 0.8455,                0.92358,               0.007327,               0.007327,               0.007327
                     29,                 1.1383,                0.85459,                0.92714,                0.86346,                0.97319,                0.98812,                0.64539,                 1.1323,                 0.8661,                0.93071,               0.007228,               0.007228,               0.007228
                     30,                 1.2039,                0.86456,                0.91282,                0.86346,                0.97319,                0.98812,                0.64539,                 1.1323,                 0.8661,                0.93071,               0.007129,               0.007129,               0.007129
                     31,                 1.1265,                0.83639,                0.91157,                0.90368,                   0.95,                0.98984,                0.69037,                 1.1806,                0.77635,                0.92191,                0.00703,                0.00703,                0.00703
                     32,                 1.1996,                0.87197,                0.91374,                0.91072,                0.98215,                 0.9925,                0.66237,                 1.1256,                0.79247,                 0.9379,               0.006931,               0.006931,               0.006931
                     33,                 1.2184,                0.92294,                0.92566,                0.90825,                0.90896,                0.98139,                0.61335,                 1.3161,                0.84663,                0.93632,               0.006832,               0.006832,               0.006832
                     34,                 1.2014,                 0.8649,                 0.8999,                0.90825,                0.90896,                0.98139,                0.61335,                 1.3161,                0.84663,                0.93632,               0.006733,               0.006733,               0.006733
                     35,                 1.2466,                0.81847,                0.89576,                0.90524,                0.98706,                0.98786,                0.68255,                  1.057,                 0.7072,                0.91597,               0.006634,               0.006634,               0.006634
                     36,                 1.2227,                0.81991,                0.90924,                0.92726,                0.98618,                  0.995,                0.64448,                 1.2707,                0.74552,                0.93031,               0.006535,               0.006535,               0.006535
                     37,                 1.2268,                0.76942,                0.90357,                0.92026,                0.98351,                0.99397,                0.72276,                 1.0234,                0.65474,                0.91103,               0.006436,               0.006436,               0.006436
                     38,                 1.2705,                0.76741,                0.89831,                0.92026,                0.98351,                0.99397,                0.72276,                 1.0234,                0.65474,                0.91103,               0.006337,               0.006337,               0.006337
                     39,                 1.1663,                0.73495,                0.90003,                0.95764,                0.99445,                0.99228,                0.65913,                 1.2368,                0.73667,                0.93381,               0.006238,               0.006238,               0.006238
                     40,                 1.1275,                0.73552,                0.90206,                0.93363,                      1,                  0.995,                0.71585,                 1.0554,                0.61619,                0.91122,               0.006139,               0.006139,               0.006139
                     41,                 1.1513,                0.72364,                0.88768,                0.91765,                      1,                  0.995,                0.65783,                 1.1401,                0.68991,                0.91641,                0.00604,                0.00604,                0.00604
                     42,                   1.13,                 0.7555,                0.88963,                0.91765,                      1,                  0.995,                0.65783,                 1.1401,                0.68991,                0.91641,               0.005941,               0.005941,               0.005941
                     43,                 1.0115,                 0.6828,                0.89257,                0.94221,                      1,                  0.995,                 0.7251,                0.96917,                0.58259,                0.89247,               0.005842,               0.005842,               0.005842
                     44,                 1.0924,                0.72346,                0.89231,                0.91329,                      1,                0.99357,                0.63173,                 1.2154,                0.71182,                0.91544,               0.005743,               0.005743,               0.005743
                     45,                 1.2132,                 0.7543,                0.89191,                0.92597,                      1,                  0.995,                0.74302,                0.93994,                0.60713,                0.88622,               0.005644,               0.005644,               0.005644
                     46,                 1.0185,                0.68995,                 0.8812,                0.92597,                      1,                  0.995,                0.74302,                0.93994,                0.60713,                0.88622,               0.005545,               0.005545,               0.005545
                     47,                 1.0701,                 0.7333,                0.87926,                0.96099,                0.97719,                0.99205,                0.70975,                0.97311,                0.66145,                  0.891,               0.005446,               0.005446,               0.005446
                     48,                 1.1247,                0.71934,                 0.8762,                0.94333,                      1,                  0.995,                0.72812,                0.91206,                0.60391,                0.88341,               0.005347,               0.005347,               0.005347
                     49,                 1.1301,                0.73808,                0.88532,                0.90895,                      1,                  0.995,                0.68564,                 1.0901,                0.65336,                0.89828,               0.005248,               0.005248,               0.005248
                     50,                 1.0781,                0.68287,                0.88251,                0.90895,                      1,                  0.995,                0.68564,                 1.0901,                0.65336,                0.89828,               0.005149,               0.005149,               0.005149
                     51,                 1.0612,                0.69586,                0.89086,                 0.8996,                      1,                  0.995,                0.72941,                0.94764,                0.59504,                0.88963,                0.00505,                0.00505,                0.00505
                     52,                  1.085,                0.68593,                0.87747,                0.90076,                      1,                  0.995,                0.68187,                 1.0567,                0.65868,                0.89622,               0.004951,               0.004951,               0.004951
                     53,                 1.0424,                0.68378,                0.88415,                0.91275,                      1,                  0.995,                0.72519,                0.95733,                0.61314,                0.88779,               0.004852,               0.004852,               0.004852
                     54,                 1.0713,                0.70267,                0.86639,                0.91275,                      1,                  0.995,                0.72519,                0.95733,                0.61314,                0.88779,               0.004753,               0.004753,               0.004753
                     55,                 1.0481,                0.64088,                 0.8839,                0.93842,                      1,                  0.995,                0.72102,                 1.0448,                0.56342,                0.89413,               0.004654,               0.004654,               0.004654
                     56,                 1.0259,                0.61364,                0.88015,                 0.9461,                      1,                  0.995,                0.75146,                0.93561,                0.52286,                0.88947,               0.004555,               0.004555,               0.004555
                     57,                 1.0329,                0.62326,                0.87733,                0.95018,                      1,                  0.995,                0.73731,                0.95641,                0.62255,                0.88835,               0.004456,               0.004456,               0.004456
                     58,                 1.0394,                0.62814,                0.87777,                0.95018,                      1,                  0.995,                0.73731,                0.95641,                0.62255,                0.88835,               0.004357,               0.004357,               0.004357
                     59,                0.96743,                0.62627,                0.86675,                0.93729,                      1,                  0.995,                0.76387,                0.91939,                0.54365,                0.88447,               0.004258,               0.004258,               0.004258
                     60,                0.97567,                 0.6062,                0.87829,                0.91238,                      1,                  0.995,                 0.6963,                 1.0724,                0.61457,                0.89516,               0.004159,               0.004159,               0.004159
                     61,                 1.0205,                0.61364,                0.87366,                0.93142,                      1,                  0.995,                0.75349,                0.93086,                0.53088,                0.88457,                0.00406,                0.00406,                0.00406
                     62,                0.95353,                0.61428,                 0.8703,                0.93142,                      1,                  0.995,                0.75349,                0.93086,                0.53088,                0.88457,               0.003961,               0.003961,               0.003961
                     63,                0.97319,                 0.5981,                0.87917,                0.92588,                      1,                  0.995,                0.73445,                 0.9678,                0.56729,                0.88576,               0.003862,               0.003862,               0.003862
                     64,                0.99208,                0.59165,                0.88195,                0.90957,                      1,                  0.995,                0.72739,                 1.0139,                  0.554,                 0.9008,               0.003763,               0.003763,               0.003763
                     65,                0.95995,                0.58956,                0.87427,                0.92324,                      1,                  0.995,                0.75052,                 0.9422,                0.53655,                0.88277,               0.003664,               0.003664,               0.003664
                     66,                0.97187,                0.57726,                0.86695,                0.92324,                      1,                  0.995,                0.75052,                 0.9422,                0.53655,                0.88277,               0.003565,               0.003565,               0.003565
                     67,                0.94264,                0.59988,                 0.8655,                0.92308,                      1,                  0.995,                0.73988,                0.97143,                0.55918,                0.89128,               0.003466,               0.003466,               0.003466
                     68,                0.92733,                 0.5899,                0.86003,                0.94436,                 0.9917,                  0.995,                0.74427,                0.93495,                0.54755,                0.88114,               0.003367,               0.003367,               0.003367
                     69,                0.99839,                0.60738,                0.88145,                0.95748,                0.98974,                  0.995,                0.74667,                0.92948,                0.57825,                0.88226,               0.003268,               0.003268,               0.003268
                     70,                 0.9653,                0.58399,                0.86877,                0.95748,                0.98974,                  0.995,                0.74667,                0.92948,                0.57825,                0.88226,               0.003169,               0.003169,               0.003169
                     71,                0.93991,                 0.5734,                0.85456,                0.96492,                0.98812,                  0.995,                0.78229,                 0.8559,                0.52708,                0.87729,                0.00307,                0.00307,                0.00307
                     72,                0.92475,                0.55829,                0.85024,                0.93468,                      1,                  0.995,                 0.7524,                0.89512,                0.56068,                0.87492,               0.002971,               0.002971,               0.002971
                     73,                0.89492,                0.55781,                0.85533,                0.92182,                      1,                  0.995,                0.77885,                0.86177,                 0.5091,                 0.8765,               0.002872,               0.002872,               0.002872
                     74,                0.93191,                0.57318,                0.85435,                0.92182,                      1,                  0.995,                0.77885,                0.86177,                 0.5091,                 0.8765,               0.002773,               0.002773,               0.002773
                     75,                0.89548,                0.55099,                0.86466,                0.91002,                      1,                  0.995,                0.76548,                0.86708,                 0.5094,                0.87445,               0.002674,               0.002674,               0.002674
                     76,                0.89735,                 0.5347,                0.85663,                 0.9048,                      1,                  0.995,                0.78732,                0.86054,                0.50054,                0.87441,               0.002575,               0.002575,               0.002575
                     77,                0.92144,                0.57827,                0.84709,                0.91828,                      1,                  0.995,                0.76435,                0.86784,                0.52582,                0.87381,               0.002476,               0.002476,               0.002476
                     78,                 0.9741,                0.55433,                0.85488,                0.91828,                      1,                  0.995,                0.76435,                0.86784,                0.52582,                0.87381,               0.002377,               0.002377,               0.002377
                     79,                0.87527,                0.52755,                0.87347,                0.94117,                      1,                  0.995,                0.78818,                0.85899,                0.48002,                0.87251,               0.002278,               0.002278,               0.002278
                     80,                0.86983,                0.53544,                0.85515,                 0.9467,                      1,                  0.995,                0.77837,                 0.8714,                0.51206,                 0.8726,               0.002179,               0.002179,               0.002179
                     81,                0.89472,                0.54901,                0.85445,                0.95542,                      1,                  0.995,                0.77388,                0.86012,                0.48746,                0.87413,                0.00208,                0.00208,                0.00208
                     82,                0.88255,                 0.5362,                 0.8523,                0.95542,                      1,                  0.995,                0.77388,                0.86012,                0.48746,                0.87413,               0.001981,               0.001981,               0.001981
                     83,                0.86243,                0.55629,                0.86082,                0.95934,                0.99491,                  0.995,                0.77176,                0.86105,                0.49793,                0.87111,               0.001882,               0.001882,               0.001882
                     84,                0.87785,                0.53407,                0.85546,                0.95391,                      1,                  0.995,                0.75555,                0.88047,                0.48351,                0.87554,               0.001783,               0.001783,               0.001783
                     85,                0.86419,                0.50542,                0.84657,                0.95514,                      1,                  0.995,                0.76631,                0.86706,                 0.4754,                0.87289,               0.001684,               0.001684,               0.001684
                     86,                0.89166,                0.54886,                0.85451,                0.95514,                      1,                  0.995,                0.76631,                0.86706,                 0.4754,                0.87289,               0.001585,               0.001585,               0.001585
                     87,                0.83215,                 0.5231,                0.84838,                0.96057,                0.99575,                  0.995,                  0.771,                0.85995,                0.47709,                0.87106,               0.001486,               0.001486,               0.001486
                     88,                0.82412,                0.50946,                0.85664,                0.95691,                0.99451,                  0.995,                0.78313,                0.84466,                0.45228,                0.87174,               0.001387,               0.001387,               0.001387
                     89,                0.86584,                  0.507,                0.84348,                0.96079,                0.99337,                  0.995,                0.78357,                0.85377,                0.46343,                0.87321,               0.001288,               0.001288,               0.001288
                     90,                 0.8741,                0.55096,                0.85077,                0.96079,                0.99337,                  0.995,                0.78357,                0.85377,                0.46343,                0.87321,               0.001189,               0.001189,               0.001189
                     91,                0.85082,                0.53355,                0.84916,                0.96513,                0.98303,                  0.995,                0.78709,                 0.8554,                0.46655,                0.87268,                0.00109,                0.00109,                0.00109
                     92,                0.85815,                 0.5304,                 0.8473,                0.97014,                0.97672,                  0.995,                0.78461,                0.85233,                0.47156,                0.87206,               0.000991,               0.000991,               0.000991
                     93,                0.82978,                0.49072,                0.85614,                 0.9706,                0.97169,                  0.995,                0.78687,                0.85043,                0.47409,                0.87229,               0.000892,               0.000892,               0.000892
                     94,                0.83537,                0.52394,                0.86021,                 0.9706,                0.97169,                  0.995,                0.78687,                0.85043,                0.47409,                0.87229,               0.000793,               0.000793,               0.000793
                     95,                0.84631,                0.49314,                0.86076,                0.96678,                0.97224,                  0.995,                0.78611,                0.85973,                0.47922,                0.87341,               0.000694,               0.000694,               0.000694
                     96,                0.85924,                0.53668,                0.84785,                0.96008,                0.98032,                  0.995,                0.79002,                0.86303,                0.47314,                0.87284,               0.000595,               0.000595,               0.000595
                     97,                0.86645,                0.50397,                0.85401,                 0.9553,                0.98715,                  0.995,                0.78438,                0.86907,                0.46585,                0.87242,               0.000496,               0.000496,               0.000496
                     98,                0.83499,                 0.4972,                 0.8575,                 0.9553,                0.98715,                  0.995,                0.78438,                0.86907,                0.46585,                0.87242,               0.000397,               0.000397,               0.000397
                     99,                 0.8473,                0.50025,                0.83688,                0.95435,                 0.9909,                  0.995,                0.79046,                0.86993,                0.46604,                 0.8721,               0.000298,               0.000298,               0.000298
